GeogPoint,City,County,ISO_3166_2,ISO_A3,LocalDate,LocalHour,ProbabilityofPrecipitation,ProbabilityofSnow
POINT(-79.87060546875 44.14306640625),New Tecumseth,,CA-ON,CAN,2021-01-09,12,0.017,0.665
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,09,0.017,0.999
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,12,0.017,0.78
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,13,0.017,0.45
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,10,0.017,0.998
POINT(-79.65087890625 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,14,0.017,0.52
POINT(-79.56298828125 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,11,0.017,0.946
POINT(-79.56298828125 44.14306640625),Bradford West Gwillimbury,,CA-ON,CAN,2021-01-09,09,0.017,1
POINT(-79.43115234375 44.14306640625),East Gwillimbury,,CA-ON,CAN,2021-01-09,09,0.017,1
POINT(-79.43115234375 44.14306640625),East Gwillimbury,,CA-ON,CAN,2021-01-09,10,0.017,0.991
POINT(-79.43115234375 44.14306640625),East Gwillimbury,,CA-ON,CAN,2021-01-09,11,0.017,0.944
POINT(-79.43115234375 44.14306640625),East Gwillimbury,,CA-ON,CAN,2021-01-09,13,0.017,0.761
POINT(-79.12353515625 44.14306640625),Uxbridge,,CA-ON,CAN,2021-01-09,14,0.017,0.832
POINT(-79.38720703125 46.25244140625),North Bay,,CA-ON,CAN,2021-01-09,13,0.017,1
POINT(-79.34326171875 46.25244140625),North Bay,,CA-ON,CAN,2021-01-09,11,0.017,1
POINT(-89.40673828125 48.36181640625),Oliver Paipoonge,,CA-ON,CAN,2021-01-09,06,0.017,0.854
POINT(-89.40673828125 48.36181640625),Oliver Paipoonge,,CA-ON,CAN,2021-01-09,07,0.017,0.927
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,09,0.017,0.982
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,07,0.017,0.906
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,12,0.017,0.99
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,13,0.017,0.986
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,08,0.017,0.39
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,10,0.017,0.918
POINT(-89.31884765625 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,11,0.017,0.99
POINT(-89.27490234375 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,12,0.017,0.997
POINT(-89.27490234375 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,11,0.017,0.993
POINT(-89.27490234375 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,13,0.017,0.983
POINT(-89.27490234375 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,10,0.017,0.95
POINT(-89.27490234375 48.36181640625),Thunder Bay,,CA-ON,CAN,2021-01-09,09,0.017,0.944
POINT(-81.58447265625 48.36181640625),Timmins,,CA-ON,CAN,2021-01-09,06,0.046,1
POINT(-82.19970703125 42.38525390625),Chatham-Kent,,CA-ON,CAN,2021-01-09,02,0.017,0
POINT(-79.82666015625 44.49462890625),Springwater,,CA-ON,CAN,2021-01-09,15,0.017,0.919
POINT(-79.73876953125 44.49462890625),Springwater,,CA-ON,CAN,2021-01-09,14,0.017,0.706
POINT(-79.73876953125 44.49462890625),Springwater,,CA-ON,CAN,2021-01-09,13,0.017,0.659
POINT(-79.69482421875 44.49462890625),Oro-Medonte,,CA-ON,CAN,2021-01-09,15,0.017,0.914
POINT(-79.51904296875 44.49462890625),Oro-Medonte,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-79.47509765625 44.49462890625),Oro-Medonte,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-80.79345703125 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,15,0.017,0.102
POINT(-80.79345703125 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,11,0.017,0.563
POINT(-80.79345703125 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,15,0.017,0.12
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,13,0.017,0.021
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,14,0.017,0.036
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,12,0.017,0.136
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,11,0.017,0.561
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-80.74951171875 43.08837890625),South-West Oxford,,CA-ON,CAN,2021-01-09,10,0.017,0.975
POINT(-79.25537109375 43.08837890625),Thorold,,CA-ON,CAN,2021-01-09,13,0.017,0.222
POINT(-79.21142578125 43.08837890625),Thorold,,CA-ON,CAN,2021-01-09,13,0.017,0.212
POINT(-79.16748046875 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,09,0.017,0
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,10,0.017,0.873
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,13,0.017,0.38
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,14,0.017,0.101
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,09,0.017,0.993
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,12,0.017,0.358
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,15,0.017,0.033
POINT(-79.12353515625 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,11,0.017,0.573
POINT(-79.07958984375 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,14,0.017,0.503
POINT(-79.07958984375 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,11,0.017,0.805
POINT(-79.07958984375 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,12,0.017,0.198
POINT(-79.07958984375 43.08837890625),Niagara Falls,,CA-ON,CAN,2021-01-09,13,0.017,0.353
POINT(-75.73974609375 45.19775390625),Ottawa,,CA-ON,CAN,2021-01-09,10,0.017,1
POINT(-75.73974609375 45.19775390625),Ottawa,,CA-ON,CAN,2021-01-09,11,0.017,0.998
POINT(-75.69580078125 45.19775390625),Ottawa,,CA-ON,CAN,2021-01-09,11,0.017,0.999
POINT(-75.69580078125 45.19775390625),Ottawa,,CA-ON,CAN,2021-01-09,09,0.017,1
POINT(-75.69580078125 45.19775390625),Ottawa,,CA-ON,CAN,2021-01-09,10,0.017,1
POINT(-80.57373046875 43.43994140625),Waterloo,,CA-ON,CAN,2021-01-09,11,0.017,0.931
POINT(-80.57373046875 43.43994140625),Waterloo,,CA-ON,CAN,2021-01-09,13,0.033,0.184
POINT(-80.57373046875 43.43994140625),Waterloo,,CA-ON,CAN,2021-01-09,14,0.017,0.641
POINT(-80.57373046875 43.43994140625),Waterloo,,CA-ON,CAN,2021-01-09,15,0.017,0.352
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,12,0.029,0.483
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,10,0.017,0.99
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,09,0.017,0.999
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,14,0.017,0.176
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,15,0.017,0.471
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,05,0.017,0.997
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,13,0.017,0.088
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,11,0.017,0.677
POINT(-80.52978515625 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,11,0.017,0.74
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,04,0.017,0.997
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,10,0.021,0.989
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,05,0.017,0.994
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,00,0.017,0.992
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,12,0.017,0.387
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,09,0.021,0.997
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,01,0.017,0.999
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,15,0.017,0.307
